state_name,metro,geo_name,federal_workers,margin_of_error,share_of_employment
Iowa,36540,"Omaha, NE-IA",10592,1471,0.021
Nebraska,36540,"Omaha, NE-IA",10592,1471,0.021
New York,36580,"Oneonta, NY",154,112,0.006
Idaho,36620,"Ontario, OR-ID",556,325,0.024
Oregon,36620,"Ontario, OR-ID",556,325,0.024
Louisiana,36660,"Opelousas, LA",351,261,0.012
South Carolina,36700,"Orangeburg, SC",257,187,0.008
Florida,36740,"Orlando-Kissimmee-Sanford, FL",16659,2424,0.012
Wisconsin,36780,"Oshkosh-Neenah, WI",804,394,0.009
Iowa,36820,"Oskaloosa, IA",22,38,0.002
Washington,36830,"Othello, WA",129,137,0.014
Illinois,36837,"Ottawa, IL",647,315,0.01
Kansas,36840,"Ottawa, KS",183,182,0.014
Iowa,36900,"Ottumwa, IA",134,118,0.009
Minnesota,36940,"Owatonna, MN",123,118,0.007
Kentucky,36980,"Owensboro, KY",600,301,0.011
NA,37020,"Owosso, MI",427,225,0.014
Mississippi,37060,"Oxford, MS",565,406,0.019
California,37100,"Oxnard-Thousand Oaks-Ventura, CA",8131,1578,0.021
Alabama,37120,"Ozark, AL",1397,452,0.08
Illinois,37140,"Paducah, KY-IL",993,466,0.021
Kentucky,37140,"Paducah, KY-IL",993,466,0.021
Nevada,37220,"Pahrump, NV",707,589,0.042
Florida,37260,"Palatka, FL",271,208,0.01
Texas,37300,"Palestine, TX",174,115,0.008
Florida,37340,"Palm Bay-Melbourne-Titusville, FL",6614,1264,0.023
Texas,37420,"Pampa, TX",81,112,0.009
Florida,37460,"Panama City-Panama City Beach, FL",4878,1162,0.048
Arkansas,37500,"Paragould, AR",207,154,0.012
Tennessee,37540,"Paris, TN",170,150,0.012
Texas,37580,"Paris, TX",286,233,0.011
West Virginia,37620,"Parkersburg-Vienna, WV",1487,397,0.04
Arizona,37740,"Payson, AZ",832,414,0.047
Iowa,37800,"Pella, IA",268,203,0.016
Florida,37860,"Pensacola-Ferry Pass-Brent, FL",8002,1408,0.035
Illinois,37900,"Peoria, IL",2050,665,0.012
Indiana,37940,"Peru, IN",220,206,0.015
NA,37950,"Petoskey, MI",84,66,0.005
Delaware,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",51880,4382,0.017
Maryland,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",51880,4382,0.017
New Jersey,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",51880,4382,0.017
Pennsylvania,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",51880,4382,0.017
Arizona,38060,"Phoenix-Mesa-Chandler, AZ",34099,3306,0.014
Mississippi,38100,"Picayune, MS",502,289,0.021
NA,38210,"Pikeville, KY",176,147,0.006
Arkansas,38220,"Pine Bluff, AR",337,213,0.013
North Carolina,38240,"Pinehurst-Southern Pines, NC",1297,547,0.032
Kansas,38260,"Pittsburg, KS",355,392,0.018
Pennsylvania,38300,"Pittsburgh, PA",16894,1974,0.014
Massachusetts,38340,"Pittsfield, MA",554,335,0.009
Texas,38380,"Plainview, TX",329,243,0.019
Wisconsin,38420,"Platteville, WI",178,97,0.007
New York,38460,"Plattsburgh, NY",251,172,0.007
Indiana,38500,"Plymouth, IN",224,185,0.01
Idaho,38540,"Pocatello, ID",755,335,0.019
Oklahoma,38620,"Ponca City, OK",591,271,0.032
Puerto Rico,38660,"Ponce, PR",954,419,0.011
Illinois,38700,"Pontiac, IL",253,137,0.016
Missouri,38740,"Poplar Bluff, MO",437,351,0.024
Washington,38820,"Port Angeles, WA",786,403,0.027
Maine,38860,"Portland-South Portland, ME",5460,1198,0.018
Oregon,38900,"Portland-Vancouver-Hillsboro, OR-WA",15772,1884,0.012
Washington,38900,"Portland-Vancouver-Hillsboro, OR-WA",15772,1884,0.012
Texas,38920,"Port Lavaca, TX",51,93,0.005
Florida,38940,"Port St. Lucie, FL",2188,731,0.01
Ohio,39020,"Portsmouth, OH",940,519,0.032
NA,39040,"Port Townsend, WA",487,354,0.038
Pennsylvania,39060,"Pottsville, PA",757,287,0.012
Arizona,39150,"Prescott Valley-Prescott, AZ",743,303,0.008
Utah,39220,"Price, UT",168,121,0.018
Massachusetts,39300,"Providence-Warwick, RI-MA",14646,2314,0.018
Rhode Island,39300,"Providence-Warwick, RI-MA",14646,2314,0.018
Utah,39340,"Provo-Orem-Lehi, UT",2292,694,0.006
Colorado,39380,"Pueblo, CO",1598,607,0.022
Washington,39420,"Pullman, WA",210,209,0.009
Florida,39460,"Punta Gorda, FL",626,409,0.008
NA,39480,"Putnam, CT",414,222,0.008
Illinois,39500,"Quincy, IL-MO",464,254,0.013
Missouri,39500,"Quincy, IL-MO",464,254,0.013
Wisconsin,39540,"Racine-Mount Pleasant, WI",804,379,0.009
North Carolina,39580,"Raleigh-Cary, NC",9436,1583,0.012
South Dakota,39660,"Rapid City, SD",2470,820,0.033
Texas,39700,"Raymondville, TX",211,230,0.027
Pennsylvania,39740,"Reading, PA",1471,521,0.007
California,39780,"Red Bluff, CA",547,316,0.021
California,39820,"Redding, CA",1514,543,0.02
Minnesota,39860,"Red Wing, MN",152,97,0.006
Nevada,39900,"Reno, NV",4811,962,0.017
Idaho,39940,"Rexburg, ID",546,315,0.016
NA,39960,"Rice Lake, WI",175,148,0.008
Indiana,39980,"Richmond, IN",368,213,0.013
Virginia,40060,"Richmond, VA",20210,2207,0.03
Kentucky,40080,"Richmond-Berea, KY",1751,555,0.03
NA,40090,"Rifle, CO",366,349,0.009
Texas,40100,"Rio Grande City-Roma, TX",401,324,0.017
California,40140,"Riverside-San Bernardino-Ontario, CA",27149,2723,0.013
Wyoming,40180,"Riverton, WY",689,334,0.04
Virginia,40220,"Roanoke, VA",2108,623,0.015
North Carolina,40260,"Roanoke Rapids, NC",163,99,0.007
Illinois,40300,"Rochelle, IL",252,182,0.01
Minnesota,40340,"Rochester, MN",866,348,0.007
New York,40380,"Rochester, NY",4858,967,0.01
Illinois,40420,"Rockford, IL",1454,833,0.01
North Carolina,40460,"Rockingham, NC",102,176,0.006
Wyoming,40540,"Rock Springs, WY",258,246,0.013
North Carolina,40580,"Rocky Mount, NC",924,526,0.015
Missouri,40620,"Rolla, MO",519,275,0.028
Georgia,40660,"Rome, GA",525,336,0.012
Oregon,40700,"Roseburg, OR",1356,577,0.031
New Mexico,40740,"Roswell, NM",725,475,0.028
New Mexico,40760,"Ruidoso, NM",254,228,0.029
NA,40770,"Russellville, AL",284,224,0.023
Arkansas,40780,"Russellville, AR",331,248,0.009
Louisiana,40820,"Ruston, LA",242,276,0.013
Vermont,40860,"Rutland, VT",271,174,0.01
California,40900,"Sacramento-Roseville-Folsom, CA",15383,1971,0.014
Arizona,40940,"Safford, AZ",635,339,0.041
Michigan,40980,"Saginaw, MI",1008,414,0.012
Minnesota,41060,"St. Cloud, MN",1960,613,0.019
Utah,41100,"St. George, UT",1352,681,0.015
Kansas,41140,"St. Joseph, MO-KS",643,291,0.012
Missouri,41140,"St. Joseph, MO-KS",643,291,0.012
Illinois,41180,"St. Louis, MO-IL",25469,2518,0.018
Missouri,41180,"St. Louis, MO-IL",25469,2518,0.018
Pennsylvania,41260,"St. Marys, PA",112,109,0.008
Ohio,41400,"Salem, OH",363,239,0.008
Oregon,41420,"Salem, OR",1424,610,0.007
Kansas,41460,"Salina, KS",230,204,0.008
California,41500,"Salinas, CA",3651,817,0.02
Delaware,41540,"Salisbury, MD",791,433,0.014
Maryland,41540,"Salisbury, MD",791,433,0.014
Utah,41620,"Salt Lake City-Murray, UT",8909,1550,0.013
Texas,41660,"San Angelo, TX",1906,903,0.035
Texas,41700,"San Antonio-New Braunfels, TX",38406,3994,0.031
California,41740,"San Diego-Chula Vista-Carlsbad, CA",40585,3380,0.026
Idaho,41760,"Sandpoint, ID",141,104,0.007
Ohio,41780,"Sandusky, OH",221,198,0.004
North Carolina,41820,"Sanford, NC",172,172,0.006
California,41860,"San Francisco-Oakland-Fremont, CA",30318,2635,0.013
California,41940,"San Jose-Sunnyvale-Santa Clara, CA",7918,1327,0.008
Puerto Rico,41980,"San Juan-Bayamón-Caguas, PR",12520,1856,0.016
California,42020,"San Luis Obispo-Paso Robles, CA",1038,390,0.008
California,42100,"Santa Cruz-Watsonville, CA",1090,528,0.009
New Mexico,42140,"Santa Fe, NM",2751,734,0.039
California,42200,"Santa Maria-Santa Barbara, CA",3328,789,0.017
California,42220,"Santa Rosa-Petaluma, CA",1960,665,0.008
Michigan,42300,"Sault Ste. Marie, MI",550,198,0.038
Georgia,42340,"Savannah, GA",5657,1331,0.028
Pennsylvania,42380,"Sayre, PA",306,173,0.012
Nebraska,42420,"Scottsbluff, NE",214,259,0.012
Alabama,42460,"Scottsboro, AL",773,468,0.035
Pennsylvania,42540,"Scranton--Wilkes-Barre, PA",5476,982,0.022
NA,42580,"Seaford, DE",1600,528,0.014
Arkansas,42620,"Searcy, AR",538,428,0.017
Washington,42660,"Seattle-Tacoma-Bellevue, WA",29662,2819,0.014
Florida,42680,"Sebastian-Vero Beach-West Vero Corridor, FL",580,308,0.009
Florida,42700,"Sebring, FL",490,399,0.014
Missouri,42740,"Sedalia, MO",538,276,0.028
Pennsylvania,42780,"Selinsgrove, PA",403,202,0.022
Alabama,42820,"Selma, AL",51,65,0.004
South Carolina,42860,"Seneca, SC",100,122,0.003
New York,42900,"Seneca Falls, NY",83,73,0.006
Tennessee,42940,"Sevierville, TN",985,540,0.021
Indiana,42980,"Seymour, IN",46,59,0.002
Wisconsin,43020,"Shawano, WI",298,167,0.015
Oklahoma,43060,"Shawnee, OK",1629,350,0.055
Wisconsin,43100,"Sheboygan, WI",245,184,0.004
North Carolina,43140,"Shelby-Kings Mountain, NC",369,275,0.008
Tennessee,43180,"Shelbyville, TN",672,328,0.026
Washington,43220,"Shelton, WA",769,377,0.032
Wyoming,43260,"Sheridan, WY",1141,537,0.071
Texas,43300,"Sherman-Denison, TX",562,359,0.009
Arizona,43320,"Show Low, AZ",1853,532,0.054
Louisiana,43340,"Shreveport-Bossier City, LA",4754,1441,0.03
Ohio,43380,"Sidney, OH",55,97,0.002
Arizona,43420,"Sierra Vista-Douglas, AZ",2375,631,0.06
Missouri,43460,"Sikeston, MO",270,193,0.013
New Mexico,43500,"Silver City, NM",128,156,0.016
Iowa,43580,"Sioux City, IA-NE-SD",685,386,0.01
Nebraska,43580,"Sioux City, IA-NE-SD",685,386,0.01
South Dakota,43580,"Sioux City, IA-NE-SD",685,386,0.01
South Dakota,43620,"Sioux Falls, SD-MN",2428,737,0.015
NA,43640,"Slidell-Mandeville-Covington, LA",2330,733,0.018
Kentucky,43700,"Somerset, KY",608,400,0.024
Pennsylvania,43740,"Somerset, PA",444,200,0.014
California,43760,"Sonora, CA",490,318,0.022
Indiana,43780,"South Bend-Mishawaka, IN-MI",1422,486,0.01
Michigan,43780,"South Bend-Mishawaka, IN-MI",1422,486,0.01
NA,43890,"Sparta, WI",1176,351,0.06
South Carolina,43900,"Spartanburg, SC",1168,624,0.007
South Dakota,43940,"Spearfish, SD",434,293,0.031
Iowa,44020,"Spirit Lake, IA",160,122,0.017
Washington,44060,"Spokane-Spokane Valley, WA",6752,1321,0.025
Illinois,44100,"Springfield, IL",1628,622,0.017
Massachusetts,44140,"Springfield, MA",3614,825,0.017
Missouri,44180,"Springfield, MO",2137,572,0.009
Ohio,44220,"Springfield, OH",896,318,0.016
Mississippi,44260,"Starkville, MS",59,72,0.002
Pennsylvania,44300,"State College, PA",612,333,0.009
Georgia,44340,"Statesboro, GA",1250,665,0.032
Virginia,44420,"Staunton-Stuarts Draft, VA",901,499,0.015
Colorado,44460,"Steamboat Springs, CO",171,175,0.007
Texas,44500,"Stephenville, TX",291,253,0.014
Colorado,44540,"Sterling, CO",68,112,0.008
Illinois,44580,"Sterling, IL",271,194,0.011
Wisconsin,44620,"Stevens Point-Plover, WI",152,157,0.004
Oklahoma,44660,"Stillwater, OK",1078,515,0.029
California,44700,"Stockton-Lodi, CA",5476,1147,0.015
Iowa,44740,"Storm Lake, IA",143,99,0.015
Michigan,44780,"Sturgis, MI",291,173,0.011
Texas,44860,"Sulphur Springs, TX",190,161,0.012
Georgia,44900,"Summerville, GA",9,17,0.001
South Carolina,44940,"Sumter, SC",1624,687,0.042
Pennsylvania,44980,"Sunbury, PA",376,155,0.008
California,45000,"Susanville, CA",541,329,0.057
New York,45060,"Syracuse, NY",4863,1031,0.016
Oklahoma,45140,"Tahlequah, OK",930,336,0.046
Alabama,45180,"Talladega-Sylacauga, AL",1344,499,0.036
Florida,45220,"Tallahassee, FL",2083,751,0.011
Florida,45300,"Tampa-St. Petersburg-Clearwater, FL",24593,2488,0.016
New Mexico,45340,"Taos, NM",282,314,0.018
Illinois,45380,"Taylorville, IL",241,163,0.016
Indiana,45460,"Terre Haute, IN",1921,597,0.027
Arkansas,45500,"Texarkana, TX-AR",2600,775,0.045
Texas,45500,"Texarkana, TX-AR",2600,775,0.045
Oregon,45520,"The Dalles, OR",48,69,0.004
Georgia,45580,"Thomaston, GA",0,155,0
Georgia,45620,"Thomasville, GA",212,204,0.007
Ohio,45660,"Tiffin, OH",69,90,0.003
Georgia,45700,"Tifton, GA",180,202,0.009
Georgia,45740,"Toccoa, GA",132,159,0.011
Ohio,45780,"Toledo, OH",2510,704,0.009
Kansas,45820,"Topeka, KS",3489,877,0.033
Connecticut,45860,"Torrington, CT",238,182,0.004
Michigan,45900,"Traverse City, MI",923,471,0.013
New Jersey,45940,"Trenton-Princeton, NJ",1739,632,0.01
Alabama,45980,"Troy, AL",416,381,0.026
California,46020,"Truckee-Grass Valley, CA",251,230,0.006
Arizona,46060,"Tucson, AZ",11954,1861,0.025
Tennessee,46100,"Tullahoma-Manchester, TN",983,458,0.034
Oklahoma,46140,"Tulsa, OK",8125,926,0.017
Mississippi,46180,"Tupelo, MS",549,332,0.009
Alabama,46220,"Tuscaloosa, AL",3594,1015,0.03
Idaho,46300,"Twin Falls, ID",1552,674,0.028
Texas,46340,"Tyler, TX",1939,907,0.018
California,46380,"Ukiah, CA",324,213,0.009
Tennessee,46460,"Union City, TN",40,40,0.004
Ohio,46500,"Urbana, OH",156,164,0.009
Hawaii,46520,"Urban Honolulu, HI",26432,2050,0.06
New York,46540,"Utica-Rome, NY",2726,765,0.022
NA,46580,"Utuado, PR",0,172,0
Texas,46620,"Uvalde, TX",0,162,0
Georgia,46660,"Valdosta, GA",1272,532,0.02
California,46700,"Vallejo, CA",3750,869,0.019
Ohio,46780,"Van Wert, OH",455,303,0.036
Utah,46860,"Vernal, UT",511,408,0.031
Mississippi,46980,"Vicksburg, MS",1355,491,0.077
Texas,47020,"Victoria, TX",1090,1149,0.026
Georgia,47080,"Vidalia, GA",59,58,0.004
Indiana,47180,"Vincennes, IN",105,117,0.006
New Jersey,47220,"Vineland, NJ",1364,712,0.021
North Carolina,47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",48643,3743,0.061
Virginia,47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",48643,3743,0.061
California,47300,"Visalia, CA",1653,432,0.009
Indiana,47340,"Wabash, IN",19,28,0.001
Texas,47380,"Waco, TX",1915,657,0.014
Minnesota,47420,"Wahpeton, ND-MN",195,187,0.018
North Dakota,47420,"Wahpeton, ND-MN",195,187,0.018
Washington,47460,"Walla Walla, WA",868,365,0.033
Ohio,47540,"Wapakoneta, OH",28,38,0.001
Georgia,47580,"Warner Robins, GA",8341,1495,0.094
Pennsylvania,47620,"Warren, PA",143,92,0.009
Missouri,47660,"Warrensburg, MO",790,351,0.032
Indiana,47700,"Warsaw, IN",312,276,0.008
Indiana,47780,"Washington, IN",436,213,0.03
North Carolina,47820,"Washington, NC",174,156,0.01
District of Columbia,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",319455,8288,0.098
Maryland,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",319455,8288,0.098
Virginia,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",319455,8288,0.098
West Virginia,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",319455,8288,0.098
Ohio,47920,"Washington Court House, OH",191,203,0.015
NA,47930,"Waterbury-Shelton, CT",2845,986,0.013
Iowa,47940,"Waterloo-Cedar Falls, IA",868,397,0.011
South Dakota,47980,"Watertown, SD",119,117,0.009
Wisconsin,48020,"Watertown-Fort Atkinson, WI",356,270,0.008
New York,48060,"Watertown-Fort Drum, NY",2232,669,0.05
Wisconsin,48140,"Wausau, WI",224,108,0.003
Georgia,48180,"Waycross, GA",112,135,0.005
NA,48200,"Waynesville, NC",337,181,0.011
Oklahoma,48220,"Weatherford, OK",616,300,0.034
Ohio,48260,"Weirton-Steubenville, WV-OH",423,271,0.009
West Virginia,48260,"Weirton-Steubenville, WV-OH",423,271,0.009
Washington,48300,"Wenatchee-East Wenatchee, WA",1443,644,0.026
Missouri,48460,"West Plains, MO",486,355,0.027
Ohio,48540,"Wheeling, WV-OH",911,342,0.015
West Virginia,48540,"Wheeling, WV-OH",911,342,0.015
Wisconsin,48580,"Whitewater-Elkhorn, WI",189,120,0.004
Kansas,48620,"Wichita, KS",5347,1258,0.017
Texas,48660,"Wichita Falls, TX",2170,693,0.033
NA,48680,"Wildwood-The Villages, FL",693,513,0.021
Pennsylvania,48700,"Williamsport, PA",1286,480,0.025
North Dakota,48780,"Williston, ND",174,175,0.009
Minnesota,48820,"Willmar, MN",134,95,0.007
North Carolina,48900,"Wilmington, NC",2533,791,0.012
Ohio,48940,"Wilmington, OH",232,200,0.012
North Carolina,48980,"Wilson, NC",140,171,0.004
NA,49010,"Winchester, TN",307,214,0.016
Virginia,49020,"Winchester, VA-WV",2959,943,0.043
West Virginia,49020,"Winchester, VA-WV",2959,943,0.043
Minnesota,49100,"Winona, MN",83,69,0.003
North Carolina,49180,"Winston-Salem, NC",3369,971,0.011
Wisconsin,49220,"Wisconsin Rapids-Marshfield, WI",84,92,0.003
Ohio,49300,"Wooster, OH",427,279,0.008
Connecticut,49340,"Worcester, MA",4762,1114,0.011
Massachusetts,49340,"Worcester, MA",4762,1114,0.011
Minnesota,49380,"Worthington, MN",20,20,0.002
Washington,49420,"Yakima, WA",3061,953,0.028
South Dakota,49460,"Yankton, SD",372,194,0.034
Pennsylvania,49620,"York-Hanover, PA",3863,924,0.017
Ohio,49660,"Youngstown-Warren, OH",1947,484,0.011
Pennsylvania,49660,"Youngstown-Warren, OH",1947,484,0.011
California,49700,"Yuba City, CA",1430,650,0.02
Arizona,49740,"Yuma, AZ",3372,997,0.047
Ohio,49780,"Zanesville, OH",183,171,0.005
